	[1.37058,2.61721]
	[1.3731,2.61469]
	[1.37499,2.6128]
	[1.3857,2.60209]
	[1.38759,2.6002]
	[1.39011,2.59768]
	[1.392,2.59579]
	[1.58919,2.404]
	[1.59108,2.40211]
	[1.5936,2.39959]
	[1.59549,2.3977]
	[1.6062,2.38699]
	[1.60809,2.3851]
	[1.61061,2.38258]
	[1.6125,2.38069]
	[1.64589,2.3473]
	[1.64778,2.34541]
	[1.6503,2.34289]
	[1.65219,2.341]
	[1.6629,2.33029]
	[1.66479,2.3284]
	[1.66731,2.32588]
	[1.6692,2.32399]
	[1.67109,2.3167]
	[1.6818,2.30599]
	[1.68369,2.3041]
	[1.68999,2.3032]
	[1.69188,2.30131]
	[1.6944,2.29879]
	[1.69629,2.2969]
	[1.70259,2.2906]
	[1.70448,2.28871]
	[1.707,2.28619]
	[1.70889,2.2843]
	[1.71141,2.28178]
	[1.7133,2.27989]
	[1.7196,2.27359]
	[1.72149,2.2717]
	[1.72401,2.26918]
	[1.7259,2.26729]
	[1.7259,2.26189]
	[1.72779,2.26]
	[1.7385,2.24929]
	[1.74039,2.2474]
	[1.74669,2.2465]
	[1.74858,2.24461]
	[1.7511,2.24209]
	[1.75299,2.2402]
	[1.7637,2.22949]
	[1.76559,2.2276]
	[1.76811,2.22508]
	[1.77,2.22319]
	[1.77189,2.2159]
	[1.7826,2.20519]
	[1.78449,2.2033]
	[1.78701,2.20078]
	[1.7889,2.19889]
	[1.83489,2.1529]
	[1.83678,2.15101]
	[1.8393,2.14849]
	[1.84119,2.1466]
	[1.8519,2.13589]
	[1.85379,2.134]
	[1.85631,2.13148]
	[1.8582,2.12959]
	[1.89159,2.0962]
	[1.89348,2.09431]
	[1.896,2.09179]
	[1.89789,2.0899]
	[1.9086,2.07919]
	[1.91049,2.0773]
	[1.91301,2.07478]
	[1.9149,2.07289]
	[1.93569,2.0521]
	[1.93758,2.05021]
	[1.9401,2.04769]
	[1.94199,2.0458]
	[1.9527,2.03509]
	[1.95459,2.0332]
	[1.95711,2.03068]
	[1.959,2.02879]
	[2.10579,1.882]
	[2.10768,1.88011]
	[2.1102,1.87759]
	[2.11209,1.8757]
	[2.1228,1.86499]
	[2.12469,1.8631]
	[2.12721,1.86058]
	[2.1291,1.85869]
	[2.16249,1.8253]
	[2.16438,1.82341]
	[2.1669,1.82089]
	[2.16879,1.819]
	[2.1795,1.80829]
	[2.18139,1.8064]
	[2.18391,1.80388]
	[2.1858,1.80199]
	[2.20659,1.7812]
	[2.20848,1.77931]
	[2.211,1.77679]
	[2.21289,1.7749]
	[2.2236,1.76419]
	[2.22549,1.7623]
	[2.22801,1.75978]
	[2.2299,1.75789]
	[2.27589,1.7119]
	[2.27778,1.71001]
	[2.2803,1.70749]
	[2.28219,1.7056]
	[2.2929,1.69489]
	[2.29479,1.693]
	[2.29731,1.69048]
	[2.2992,1.68859]
	[2.33259,1.6552]
	[2.33448,1.65331]
	[2.337,1.65079]
	[2.33889,1.6489]
	[2.3496,1.63819]
	[2.35149,1.6363]
	[2.35401,1.63378]
	[2.3559,1.63189]
	[2.37669,1.6111]
	[2.37858,1.60921]
	[2.3811,1.60669]
	[2.38299,1.6048]
	[2.3937,1.59409]
	[2.39559,1.5922]
	[2.39811,1.58968]
	[2.4,1.58779]
	}
Pareto front size: 15665, 15604, 15568, 431
